,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,801.99,815.18,806.9,808.0,808.0,810.4,807.81,807.81,807.81,808.26,808.26,808.26,808.26,808.9,810.32,808.71
1,-739.18,-754.19,-747.11,-746.72,-746.72,-749.52,-747.38,-747.38,-747.38,-747.8,-747.8,-747.8,-747.8,-748.25,-749.3,-748.25
2,-102.81,-103.78,-102.2,-103.4,-103.4,-103.17,-102.73,-102.73,-102.73,-102.72,-102.73,-102.73,-102.73,-102.9,-103.27,-102.73
3,-3.5662,-3.6289,-3.5189,-3.6231,-3.6231,-3.5766,-3.5482,-3.5482,-3.5482,-3.5786,-3.5511,-3.5511,-3.5511,-3.5584,-3.5759,-3.5456
4,-0.011966,-0.011706,-0.011996,-0.012602,-0.012602,-0.012546,-0.012125,-0.012125,-0.012125,-0.012293,-0.01213,-0.01213,-0.01213,-0.0121,-0.012262,-0.012072
5,5.2822,5.4309,5.3446,5.3621,5.3621,5.3053,5.3678,5.3678,5.3678,5.3935,5.3769,5.3769,5.3769,5.3531,5.3868,5.3904
6,3.6192,3.0039,3.1681,3.1859,3.1859,3.1995,3.1582,3.1582,3.1582,3.137,3.1534,3.1534,3.1534,3.1616,3.1422,3.1425
7,0.12078,0.090665,0.090786,0.093187,0.093187,0.091036,0.092825,0.092825,0.092825,0.093144,0.092362,0.092362,0.092362,0.09111,0.093119,0.093605
8,0.023629,0.019494,0.021492,0.020802,0.020802,0.021484,0.020748,0.020748,0.020748,0.020573,0.020933,0.020933,0.020933,0.021598,0.020644,0.020471
9,0.0009986,0.0014391,-0.00013872,-7.9627e-05,-7.9627e-05,-0.00011702,-0.0001385,-0.0001385,-0.0001385,-8.7665e-05,-0.00013689,-0.00013689,-0.00013689,-0.00013379,-0.00012903,-0.00013098
10,4.9141e-05,-0.00013201,-3.7129e-06,-4.9363e-05,-4.9363e-05,-2.6193e-05,-4.3437e-06,-4.3437e-06,-4.3437e-06,-3.3366e-05,-4.3531e-06,-4.3531e-06,-4.3531e-06,-6.8425e-06,-9.4765e-06,-6.4349e-06
11,-8.9915e-05,6.4408e-06,1.2539e-06,2.7027e-06,2.7027e-06,-1.7192e-06,2.9168e-06,2.9168e-06,2.9168e-06,-1.1453e-06,2.01e-06,2.01e-06,2.01e-06,3.2926e-07,1.6338e-06,
12,-6.3941e-06,,-2.3098e-06,,,,-2.1929e-06,-2.1929e-06,-2.1929e-06,,-2.0713e-06,-2.0713e-06,-2.0713e-06,,,
13,0.0001112,,-4.5961e-06,,,,-4.8971e-06,-4.8971e-06,-4.8971e-06,,-4.7979e-06,-4.7979e-06,-4.7979e-06,,,
14,-1.9157e-06,,-5.4364e-07,,,,-2.2326e-07,-2.2326e-07,-2.2326e-07,,-3.019e-07,-3.019e-07,-3.019e-07,,,
